City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
3,Hasaki,JP,77.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
6,Butaritari,KI,83.55,broken clouds,3.0707,172.7902,Isles Sunset Lodge
10,Kloulklubed,PW,88.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
12,Bandar-E Lengeh,IR,87.21,scattered clouds,26.5579,54.8807,کافی نت پارس
20,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Arlit,NE,86.54,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
29,Gushikawa,JP,88.83,broken clouds,26.3544,127.8686,Kirari Guest House
30,Atuona,PF,78.03,clear sky,-9.8,-139.0333,Villa Enata
34,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
45,Airai,TL,82.31,few clouds,-8.9266,125.4092,Juvinal Martin
48,Praya,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
49,Cururupu,BR,76.08,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
50,Kavieng,PG,84.45,light rain,-2.5744,150.7967,Nusa Island Retreat
51,Puerto Quijarro,BO,80.64,clear sky,-17.7833,-57.7667,Hotel palance
52,Liku,ID,87.39,overcast clouds,-0.7275,119.8922,Wahyu
54,Trairi,BR,78.98,clear sky,-3.2778,-39.2689,janelas do mar
64,Dingle,PH,86.56,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
67,Pailon,BO,76.39,clear sky,-17.65,-62.75,Alojamiento pailon
68,Gizo,SB,83.39,moderate rain,-8.103,156.8419,Imagination Island
71,Mount Pleasant,US,75.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
80,Santa Rosa,PH,89.1,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
83,Islamkot,PK,89.29,light rain,24.6997,70.177,Haji Hotel
85,Kahului,US,79.86,broken clouds,20.8947,-156.47,Maui Seaside Hotel
89,Faanui,PF,78.78,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
94,Saint George,US,81.07,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
97,Akyab,MM,82.51,overcast clouds,20.15,92.9,Hotel Memory
98,Rabaul,PG,85.93,scattered clouds,-4.1967,152.1721,Rabaul Hotel
99,Carutapera,BR,75.78,few clouds,-1.195,-46.02,Lidera
100,Hithadhoo,MV,82.71,broken clouds,-0.6,73.0833,Scoop Guest House
101,Kodinar,IN,76.73,light rain,20.7903,70.7031,residency of N.B vadhel
105,Axim,GH,75.96,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
107,Puerto Escondido,MX,77.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
118,Sakaiminato,JP,78.19,broken clouds,35.55,133.2333,味処・民宿 まつや
120,Itarema,BR,79.03,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
123,Sabang,ID,80.62,overcast clouds,5.8933,95.3214,Hotel Citra
124,Pontes E Lacerda,BR,79.7,scattered clouds,-15.2261,-59.3353,Hotel Bressan
130,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
139,Alofi,NU,78.69,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
140,Lantana,US,82.45,scattered clouds,26.5867,-80.052,Four Seasons Resort Palm Beach
141,Santa Cruz,BO,78.26,smoke,-17.8,-63.1667,Aviador Hotel Boutique
142,Port Macquarie,AU,76.37,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
143,Paracuru,BR,80.62,clear sky,-3.41,-39.0306,Hotel Vento Brasil
147,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
150,Mahibadhoo,MV,82.53,broken clouds,3.7833,72.9667,Omadhoo Inn
157,El Reno,US,79.54,light rain,35.5323,-97.955,Home2 Suites by Hilton El Reno
158,Sao Filipe,CV,79.25,few clouds,14.8961,-24.4956,Hotel Xaguate
159,Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
166,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
175,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
178,Hilo,US,76.24,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
181,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
186,Praia,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
198,San Lawrenz,MT,75.85,few clouds,36.0553,14.204,San Andrea Hotel
199,Noumea,NC,80.58,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
205,Tiarei,PF,82.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
208,Panama City,PA,77.94,few clouds,8.9936,-79.5197,Riande Urban Hotel
212,Salinopolis,BR,78.19,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
213,Karaton,ID,89.96,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
221,Itapirapua,BR,83.21,scattered clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
222,Banjar,ID,84.06,overcast clouds,-8.19,114.9675,The Hamsa Resort
224,Kerema,PG,83.32,overcast clouds,-7.9631,145.7785,Frena Lodge
225,Kieta,PG,84.25,light rain,-6.2167,155.6333,Uruna Bay Retreat
226,Makrana,IN,81.32,clear sky,27.05,74.7167,Ganpati Guest House
229,Baddomalhi,PK,85.86,clear sky,31.9928,74.6683,"C,H ShAni Malhi"
234,Moerai,PF,75.29,clear sky,-22.4333,-151.3333,Le Manotel
237,Tabou,CI,76.06,light rain,4.423,-7.3528,hotêl doufoulougou
242,Katsuura,JP,77.02,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
247,Roebourne,AU,85.73,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
249,Songkhla,TH,84.25,overcast clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
257,Meulaboh,ID,81.21,overcast clouds,4.1363,96.1285,Kost Pria
264,Broken Hill,AU,75.58,clear sky,-31.95,141.4333,Royal Exchange Hotel
273,Cayenne,GF,83.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
276,Biak,ID,83.35,scattered clouds,-0.9131,122.8766,Penginapan Kim
279,Samarai,PG,79.29,overcast clouds,-10.6167,150.6667,Nuli Sapi
