City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-09-27 17:53:53,-54.8,-68.3,51.42,53,40,5.75
1,East London,ZA,2021-09-27 17:56:47,-33.0153,27.9116,67.14,82,40,23.02
2,Comrat,MD,2021-09-27 17:56:47,46.3003,28.6572,59.09,46,56,6.8
3,Homocea,RO,2021-09-27 17:56:47,46.1333,27.2333,64.02,60,81,4.21
4,Arraial Do Cabo,BR,2021-09-27 17:56:48,-22.9661,-42.0278,80.56,69,40,16.11
5,Albany,US,2021-09-27 17:56:48,42.6001,-73.9662,75.74,70,83,7.2
6,San Jeronimo,PE,2021-09-27 17:56:48,-11.9472,-75.2829,62.96,41,34,6.87
7,Tuktoyaktuk,CA,2021-09-27 17:56:49,69.4541,-133.0374,30.2,86,75,12.66
8,Sterling,US,2021-09-27 17:54:54,39.0062,-77.4286,81.77,45,1,1.99
9,Neuquen,AR,2021-09-27 17:56:49,-38.9516,-68.0591,67.89,22,0,9.22
10,Beihai,CN,2021-09-27 17:56:49,21.4833,109.1,83.62,74,22,5.32
11,Hilo,US,2021-09-27 17:54:02,19.7297,-155.09,76.8,91,90,4.61
12,Bethel,US,2021-09-27 17:56:50,41.3712,-73.414,78.03,60,75,1.01
13,Yellowknife,CA,2021-09-27 17:56:50,62.456,-114.3525,46.42,90,20,1.99
14,Dehloran,IR,2021-09-27 17:56:51,32.6941,47.2679,84.92,14,0,2.62
15,Mehamn,NO,2021-09-27 17:56:51,71.0357,27.8492,49.91,82,79,9.46
16,Hobart,AU,2021-09-27 17:56:51,-42.8794,147.3294,46.26,82,75,3.0
17,Sheboygan,US,2021-09-27 17:56:52,43.7333,-87.9334,80.82,71,9,3.0
18,Pevek,RU,2021-09-27 17:56:52,69.7008,170.3133,23.13,66,100,2.71
19,Mataura,NZ,2021-09-27 17:56:52,-46.1927,168.8643,40.48,86,36,2.86
20,Beringovskiy,RU,2021-09-27 17:55:06,63.05,179.3167,35.22,74,83,1.3
21,Anadyr,RU,2021-09-27 17:56:53,64.75,177.4833,36.1,80,40,5.99
22,Biak,ID,2021-09-27 17:56:53,-0.9131,122.8766,75.33,82,92,6.02
23,Cape Town,ZA,2021-09-27 17:56:49,-33.9258,18.4232,60.28,59,40,10.36
24,Vaini,TO,2021-09-27 17:56:54,-21.2,-175.2,62.76,100,20,3.44
25,Meulaboh,ID,2021-09-27 17:56:54,4.1363,96.1285,77.09,86,97,6.78
26,Saint George,US,2021-09-27 17:52:14,37.1041,-113.5841,85.53,39,0,1.99
27,Rikitea,PF,2021-09-27 17:53:49,-23.1203,-134.9692,73.09,73,15,21.5
28,Bluff,NZ,2021-09-27 17:56:55,-46.6,168.3333,40.8,80,59,10.89
29,Nchelenge,ZM,2021-09-27 17:56:55,-9.3451,28.734,79.27,51,96,3.67
30,Pinehurst,US,2021-09-27 17:56:55,35.1954,-79.4695,84.06,48,1,6.91
31,Constitucion,CL,2021-09-27 17:56:56,-35.3333,-72.4167,60.84,46,28,15.1
32,Baker City,US,2021-09-27 17:56:56,44.7749,-117.8344,71.58,45,7,8.68
33,Punta Arenas,CL,2021-09-27 17:55:32,-53.15,-70.9167,50.11,53,75,28.77
34,Nikolskoye,RU,2021-09-27 17:56:57,59.7035,30.7861,49.89,96,11,4.12
35,Labuhan,ID,2021-09-27 17:56:57,-6.8844,112.2051,79.12,75,59,9.19
36,Faanui,PF,2021-09-27 17:55:27,-16.4833,-151.75,78.93,77,7,18.16
37,Independencia,BR,2021-09-27 17:56:57,-5.3964,-40.3086,97.59,22,20,10.96
38,Puerto Ayora,EC,2021-09-27 17:56:58,-0.7393,-90.3518,75.16,88,100,9.86
39,Denpasar,ID,2021-09-27 17:56:58,-8.65,115.2167,78.46,83,20,12.66
40,San Ignacio,BZ,2021-09-27 17:56:59,17.1561,-89.0714,86.14,74,40,6.91
41,Port Said,EG,2021-09-27 17:56:59,31.2565,32.2841,78.78,69,0,14.97
42,Gat,IL,2021-09-27 17:56:59,31.61,34.7642,76.82,62,58,8.1
43,Busselton,AU,2021-09-27 17:54:01,-33.65,115.3333,49.53,92,8,7.81
44,Port Alfred,ZA,2021-09-27 17:57:00,-33.5906,26.891,64.8,91,74,21.63
45,Quang Ngai,VN,2021-09-27 17:57:02,15.1167,108.8,74.97,90,27,5.21
46,Chokurdakh,RU,2021-09-27 17:54:46,70.6333,147.9167,16.34,88,69,9.73
47,Toppenish,US,2021-09-27 17:57:02,46.3774,-120.3087,73.44,60,48,13.38
48,Dikson,RU,2021-09-27 17:57:03,73.5069,80.5464,35.76,87,43,20.07
49,Pisco,PE,2021-09-27 17:57:03,-13.7,-76.2167,65.01,77,90,8.05
50,Clyde River,CA,2021-09-27 17:57:03,70.4692,-68.5914,30.43,86,75,10.36
51,Port-Cartier,CA,2021-09-27 17:57:04,50.0334,-66.8654,59.22,55,41,10.83
52,Mount Isa,AU,2021-09-27 17:57:04,-20.7333,139.5,56.97,30,12,0.0
53,Union De San Antonio,MX,2021-09-27 17:57:05,21.1,-101.9667,72.68,57,52,2.06
54,Atuona,PF,2021-09-27 17:57:05,-9.8,-139.0333,77.94,73,69,19.86
55,San Quintin,MX,2021-09-27 17:57:05,30.4833,-115.95,71.08,73,91,13.18
56,Laguna,US,2021-09-27 17:53:06,38.421,-121.4238,78.21,67,1,3.0
57,Kutum,SD,2021-09-27 17:57:06,14.2,24.6667,81.55,41,95,12.41
58,Naze,JP,2021-09-27 17:55:52,28.3667,129.4833,77.04,79,24,11.01
59,Riyadh,SA,2021-09-27 17:57:06,24.6877,46.7219,84.34,10,98,9.31
60,Seljord,NO,2021-09-27 17:57:06,59.4894,8.634,58.6,99,100,4.07
61,Bredasdorp,ZA,2021-09-27 17:54:41,-34.5322,20.0403,57.27,77,83,5.28
62,Narsaq,GL,2021-09-27 17:57:07,60.9167,-46.05,37.85,34,0,2.89
63,Jamestown,US,2021-09-27 17:53:47,42.097,-79.2353,75.09,56,1,7.0
64,Smolenka,RU,2021-09-27 17:57:07,52.1352,113.4974,30.27,80,63,0.0
65,Singaraja,ID,2021-09-27 17:57:08,-8.112,115.0882,77.97,78,68,5.26
66,Hithadhoo,MV,2021-09-27 17:57:08,-0.6,73.0833,82.83,74,76,13.09
67,Tecoanapa,MX,2021-09-27 17:57:09,16.5167,-98.75,84.43,68,96,6.71
68,Katsuura,JP,2021-09-27 17:54:48,35.1333,140.3,68.14,81,70,14.03
69,Mar Del Plata,AR,2021-09-27 17:52:18,-38.0023,-57.5575,50.13,67,0,7.0
70,Owensboro,US,2021-09-27 17:52:54,37.7742,-87.1133,86.02,47,1,13.8
71,Jaggayyapeta,IN,2021-09-27 17:57:09,16.9,80.1,75.72,93,100,7.65
72,Mexticacan,MX,2021-09-27 17:57:10,21.2654,-102.7798,74.19,57,74,2.33
73,Batticaloa,LK,2021-09-27 17:57:10,7.7102,81.6924,83.61,59,100,13.94
74,Cidreira,BR,2021-09-27 17:57:10,-30.1811,-50.2056,71.29,78,4,9.75
75,Saint-Philippe,RE,2021-09-27 17:57:11,-21.3585,55.7679,71.19,84,25,13.29
76,Karratha,AU,2021-09-27 17:57:11,-20.7377,116.8463,71.94,30,68,13.58
77,Provideniya,RU,2021-09-27 17:57:11,64.3833,-173.3,27.72,87,23,4.41
78,Georgetown,MY,2021-09-27 17:57:12,5.4112,100.3354,77.95,93,40,5.01
79,Tasiilaq,GL,2021-09-27 17:57:12,65.6145,-37.6368,30.78,67,3,5.66
80,Holoby,UA,2021-09-27 17:57:12,51.0865,25.0077,52.05,80,4,8.32
81,Chikwawa,MW,2021-09-27 17:57:13,-16.0335,34.8009,84.49,33,54,3.94
82,Port Blair,IN,2021-09-27 17:55:49,11.6667,92.75,79.59,87,100,7.56
83,Mae Tha,TH,2021-09-27 17:57:13,18.4646,99.1403,74.89,97,100,1.16
84,Sumter,US,2021-09-27 17:57:13,28.7086,-82.0831,88.9,53,0,6.2
85,Yar-Sale,RU,2021-09-27 17:57:14,66.8333,70.8333,33.67,82,0,9.19
86,Thompson,CA,2021-09-27 17:57:14,55.7435,-97.8558,53.76,82,75,4.61
87,Saskylakh,RU,2021-09-27 17:57:15,71.9167,114.0833,26.62,90,33,11.9
88,Butaritari,KI,2021-09-27 17:54:48,3.0707,172.7902,83.34,76,51,21.39
89,Suntar,RU,2021-09-27 17:57:15,62.1444,117.6319,35.31,79,100,12.35
90,Airai,TL,2021-09-27 17:57:15,-8.9266,125.4092,57.72,78,77,2.39
91,San Rafael,AR,2021-09-27 17:57:16,-34.6177,-68.3301,64.17,26,11,9.04
92,Kaeo,NZ,2021-09-27 17:57:16,-35.1,173.7833,44.33,91,52,3.83
93,Avarua,CK,2021-09-27 17:57:16,-21.2078,-159.775,71.65,94,14,1.14
94,Norman Wells,CA,2021-09-27 17:56:34,65.282,-126.8329,32.04,86,90,2.3
95,Castro,BR,2021-09-27 17:57:17,-24.7911,-50.0119,85.23,31,9,5.91
96,Kruisfontein,ZA,2021-09-27 17:57:17,-34.0033,24.7314,60.89,90,76,14.74
97,Yakeshi,CN,2021-09-27 17:57:18,49.2833,120.7333,43.27,71,66,4.85
98,Sao Filipe,CV,2021-09-27 17:53:54,14.8961,-24.4956,81.07,75,36,11.07
99,Tias,ES,2021-09-27 17:57:18,28.9611,-13.645,74.95,73,20,19.57
100,Leningradskiy,RU,2021-09-27 17:56:11,69.3833,178.4167,26.02,96,100,6.33
101,Auki,SB,2021-09-27 17:57:18,-8.7676,160.7034,76.59,85,99,3.36
