City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
0,Waddan,LY,2021-09-29 03:04:51,29.1614,16.139,73.94,32,0,3.89,clear sky
1,Mataura,NZ,2021-09-29 03:04:52,-46.1927,168.8643,47.48,92,88,7.7,overcast clouds
2,Souillac,MU,2021-09-29 02:55:42,-20.5167,57.5167,74.35,68,75,11.5,broken clouds
3,Hasaki,JP,2021-09-29 02:56:07,35.7333,140.8333,77.29,65,89,11.12,overcast clouds
4,Albany,US,2021-09-29 03:04:16,42.6001,-73.9662,55.58,73,99,5.01,overcast clouds
5,Cherskiy,RU,2021-09-29 02:54:59,68.75,161.3,24.24,92,100,11.83,light snow
6,Butaritari,KI,2021-09-29 03:04:53,3.0707,172.7902,83.55,73,66,19.33,broken clouds
7,Castro,BR,2021-09-29 03:01:34,-24.7911,-50.0119,62.13,86,87,0.65,overcast clouds
8,Lagoa,PT,2021-09-29 02:55:26,39.05,-27.9833,70.7,88,92,17.2,overcast clouds
9,Santiago Del Estero,AR,2021-09-29 02:51:32,-27.7951,-64.2615,63.81,71,3,8.75,clear sky
10,Kloulklubed,PW,2021-09-29 03:04:53,7.0419,134.2556,88.3,71,100,9.28,overcast clouds
11,Bethel,US,2021-09-29 03:04:54,41.3712,-73.414,63.64,86,1,3.44,clear sky
12,Bandar-E Lengeh,IR,2021-09-29 03:04:54,26.5579,54.8807,87.21,61,32,3.74,scattered clouds
13,Qaqortoq,GL,2021-09-29 02:57:24,60.7167,-46.0333,34.14,46,0,5.35,clear sky
14,Lebu,CL,2021-09-29 03:04:54,-37.6167,-73.65,46.58,83,46,4.97,scattered clouds
15,Busselton,AU,2021-09-29 03:03:40,-33.65,115.3333,64.04,80,73,15.32,moderate rain
16,Bredasdorp,ZA,2021-09-29 03:03:57,-34.5322,20.0403,47.28,87,12,3.24,few clouds
17,Bulungu,CD,2021-09-29 03:04:55,-4.55,18.6,71.17,94,89,1.61,light rain
18,Port-Cartier,CA,2021-09-29 03:04:55,50.0334,-66.8654,44.74,80,94,3.83,overcast clouds
19,Rikitea,PF,2021-09-29 03:03:35,-23.1203,-134.9692,73.69,64,100,16.71,overcast clouds
20,Kapaa,US,2021-09-29 03:04:19,22.0752,-159.319,84.18,79,75,4.0,light rain
21,Arlit,NE,2021-09-29 03:04:56,18.7369,7.3853,86.54,23,44,8.61,scattered clouds
22,North Bend,US,2021-09-29 03:04:56,43.4065,-124.2243,55.31,92,1,0.0,haze
23,College,US,2021-09-29 03:04:57,64.8569,-147.8028,33.78,66,1,0.0,clear sky
24,Cape Town,ZA,2021-09-29 03:02:18,-33.9258,18.4232,59.27,72,0,20.29,clear sky
25,Ushuaia,AR,2021-09-29 03:01:43,-54.8,-68.3,39.63,73,100,14.36,overcast clouds
26,Chuy,UY,2021-09-29 03:04:03,-33.6971,-53.4616,57.18,84,97,12.3,overcast clouds
27,Puerto Ayora,EC,2021-09-29 03:04:57,-0.7393,-90.3518,69.6,91,70,7.0,broken clouds
28,Arraial Do Cabo,BR,2021-09-29 02:55:50,-22.9661,-42.0278,70.74,89,12,22.68,few clouds
29,Gushikawa,JP,2021-09-29 03:04:58,26.3544,127.8686,88.83,71,75,16.11,broken clouds
30,Atuona,PF,2021-09-29 02:50:55,-9.8,-139.0333,78.03,75,7,19.51,clear sky
31,Codrington,AU,2021-09-29 02:55:05,-38.2667,141.9667,60.49,71,100,18.52,overcast clouds
